mode,timestamp_ns,time_from_start_s,latency_ms
FP16,1779096963414452561,0.0,50.353
FP16,1779096963506194159,0.09174159800000001,56.117
FP16,1779096963582613376,0.16816081500000002,48.363
FP16,1779096963672737993,0.25828543200000004,43.539
FP16,1779096963780757398,0.36630483700000005,43.84
FP16,1779096963894372176,0.479919615,44.215
FP16,1779096964006834679,0.5923821180000001,55.554
FP16,1779096964081621371,0.6671688100000001,43.492
FP16,1779096964182249054,0.7677964930000001,46.944
FP16,1779096964266466554,0.852013993,45.214
FP16,1779096964371018819,0.9565662580000001,44.067
FP16,1779096964472015235,1.0575626740000001,47.604
FP16,1779096964573309410,1.158856849,48.592
FP16,1779096964679439714,1.264987153,43.284
FP16,1779096964783017783,1.3685652220000002,43.46
FP16,1779096964883667897,1.469215336,43.988
FP16,1779096964986423746,1.571971185,43.639
FP16,1779096965080783801,1.66633124,45.495
FP16,1779096965175914541,1.7614619800000002,44.243
FP16,1779096965278399288,1.863946727,44.516
FP16,1779096965403968981,1.9895164200000002,56.007
FP16,1779096965479838895,2.0653863340000003,49.95
FP16,1779096965569695722,2.155243161,45.253
FP16,1779096965691378525,2.276925964,46.288
FP16,1779096965794866656,2.3804140950000003,51.976
FP16,1779096965883203729,2.4687511680000003,43.426
FP16,1779096966000915075,2.5864625140000004,48.787
FP16,1779096966116453310,2.702000749,51.114
FP16,1779096966186176992,2.771724431,45.596
FP16,1779096966280881824,2.866429263,44.212
FP16,1779096966410123856,2.995671295,53.289
FP16,1779096966483207147,3.0687545860000003,44.766
FP16,1779096966590273005,3.175820444,48.183
FP16,1779096966683038562,3.268586001,45.364
FP16,1779096966792376773,3.3779242120000004,45.845
FP16,1779096966896193158,3.4817405970000004,49.788
FP16,1779096966971302793,3.5568502320000004,47.644
FP16,1779096967105223439,3.6907708780000004,51.044
FP16,1779096967185101902,3.7706493410000004,49.61
FP16,1779096967262021990,3.8475694290000004,42.971
FP16,1779096967389028257,3.974575696,45.102
FP16,1779096967507159335,4.092706774,50.858
FP16,1779096967589499793,4.175047232,49.16
FP16,1779096967681381343,4.266928782,45.595
FP16,1779096967792044912,4.3775923510000005,44.122
FP16,1779096967894215989,4.479763428,48.851
FP16,1779096968001176623,4.586724062,48.945
FP16,1779096968100052211,4.68559965,54.228
FP16,1779096968198971780,4.784519219,51.51
FP16,1779096968271750265,4.8572977040000005,43.966
FP16,1779096968418436681,5.00398412,53.373
FP16,1779096968483393465,5.068940904000001,48.881
FP16,1779096968561051346,5.146598785,44.238
FP16,1779096968676771235,5.262318674,46.889
FP16,1779096968773788579,5.3593360180000005,43.801
FP16,1779096968872844704,5.458392143,43.595
FP16,1779096969009342757,5.594890196000001,53.084
FP16,1779096969095949820,5.681497259,50.282
FP16,1779096969178403361,5.7639508,43.006
FP16,1779096969284794863,5.870342302,45.41
FP16,1779096969395202875,5.980750314000001,50.689
FP16,1779096969504899180,6.090446619000001,50.931
FP16,1779096969569120606,6.154668045,46.862
FP16,1779096969674309717,6.259857156000001,43.806
FP16,1779096969798169771,6.38371721,49.964
FP16,1779096969864886561,6.4504340000000004,43.554
FP16,1779096969976765412,6.562312851000001,43.897
FP16,1779096970073506959,6.659054398,54.08
FP16,1779096970221225826,6.806773265,58.16
FP16,1779096970277411526,6.862958965000001,49.478
FP16,1779096970385314521,6.970861960000001,49.518
FP16,1779096970483459589,7.069007028000001,42.915
FP16,1779096970573203002,7.1587504410000005,44.77
FP16,1779096970677526379,7.2630738180000005,45.439
FP16,1779096970760054416,7.345601855000001,43.888
FP16,1779096970900401573,7.485949012000001,50.276
FP16,1779096971008018182,7.593565621000001,51.585
FP16,1779096971069138134,7.654685573,47.705
FP16,1779096971224520658,7.810068097,59.928
FP16,1779096971274160749,7.859708188000001,49.247
FP16,1779096971371791890,7.957339329000001,47.819
FP16,1779096971467382257,8.052929696,48.892
FP16,1779096971573097631,8.15864507,46.737
FP16,1779096971662682040,8.248229479,46.003
FP16,1779096971761410882,8.346958321,45.493
